amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
VAUXHALL,ASTRA HATCHBACK,1.6 Plug-in Hybrid 195 GS 5dr e-DCT7,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.6 Plug-in Hybrid 195 Ultimate 5dr e-DCT7,4,80,82,67,66
VAUXHALL,ASTRA HATCHBACK,1.6 Plug-in Hybrid GSe 5dr e-DCT7,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 Griffin [Tech Pack] 5dr,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 Griffin [Tech Pack] 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 GS 5dr,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 GS 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 Ultimate 5dr,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo 130 Ultimate 5dr Auto,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo Hybrid 145 Griffin [Tech Pk] 5dr e-DCT6,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo Hybrid 145 GS 5dr e-DCT6,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.2 Turbo Hybrid 145 Ultimate 5dr e-DCT6,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.6 Plug-in Hybrid 195 GS 5dr e-DCT7,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.6 Plug-in Hybrid 195 Ultimate 5dr e-DCT7,4,80,82,67,66
VAUXHALL,ASTRA SPORTS TOURER,1.6 Plug-in Hybrid GSe 5dr e-DCT7,4,80,82,67,66
VAUXHALL,CORSA ELECTRIC HATCHBACK,100kW GS 50kWh 5dr Auto,4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK,100kW Ultimate [Intelli-LED] 50kWh 5dr Auto,4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK,100kW Ultimate [Intelli-LED] 50kWh 5dr Auto [NI],4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK,115kW GS 51kWh 5dr Auto,4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK,115kW Ultimate [Intelli-LED] 51kWh 5dr Auto,4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK,115kW Ultimate [Intelli-LED] 51kWh 5dr Auto [NI],4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK SPECIAL EDITIONS,100kW Yes 50kWh 5dr Auto [Winter Pack],4,,,,
VAUXHALL,CORSA ELECTRIC HATCHBACK SPECIAL EDITIONS,115kW Yes 51kWh 5dr Auto [Winter Pack],4,,,,
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,157kW Design 73kWh 5dr Auto,4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,157kW GS [Intelli-LED] 73kWh 5dr Auto,4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,157kW Ultimate 73kWh 5dr Auto [Fixed Roof],4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,170kW Design 97kWh 5dr Auto,4,82,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,170kW GS [Intelli-LED] 97kWh 5dr Auto,4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,170kW Ultimate 97kWh 5dr Auto [Fixed Roof],4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,239kW AWD GS [Intelli-LED] 73kWh 5dr Auto,4,80,85,79,62
VAUXHALL,GRANDLAND ELECTRIC HATCHBACK,239kW AWD Ultimate 73kWh 5dr Auto [Fixed Roof],4,80,85,79,62
VAUXHALL,GRANDLAND HATCHBACK,1.2 Hybrid 145 Design 5dr e-DCT6,4,80,85,79,62
VAUXHALL,GRANDLAND HATCHBACK,1.2 Hybrid 145 GS [Intelli-LED] 5dr e-DCT6,4,80,85,79,62
VAUXHALL,GRANDLAND HATCHBACK,1.2 Hybrid 145 Ultimate 5dr e-DCT6 [Fixed Roof],4,80,85,79,62
VOLKSWAGEN,CADDY CALIFORNIA ESTATE,1.5 TSI 116 5dr,5,84,82,69,79
VOLKSWAGEN,CADDY CALIFORNIA ESTATE,1.5 TSI 116 5dr DSG,5,84,82,69,79
VOLKSWAGEN,CADDY CALIFORNIA MAXI DIESEL ESTATE,2.0 TDI 122 5dr DSG [Tech Pack],5,84,82,69,79
VOLKSWAGEN,CADDY CALIFORNIA MAXI ESTATE,1.5 TSI 116 5dr,5,84,82,69,79
VOLKSWAGEN,CADDY CALIFORNIA MAXI ESTATE,1.5 TSI 116 5dr DSG,5,84,82,69,79
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG [7 Seat/Assistance Pack],5,84,82,69,79
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG [Assistance Pack],5,84,82,69,79
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Style Edition 5dr DSG,5,84,82,69,79
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Style Edition 5dr DSG [7 Seat],5,84,82,69,79
VOLKSWAGEN,CADDY ESTATE,1.5 TSI 116 Style Edition 5dr DSG,5,84,82,69,79
VOLKSWAGEN,CADDY ESTATE,1.5 TSI 116 Style Edition 5dr DSG [7 Seat],5,84,82,69,79
VOLKSWAGEN,CADDY ESTATE,1.5 TSI Life 116 5dr DSG [7 Seat/Assistance],5,84,82,69,79
VOLKSWAGEN,CADDY ESTATE,1.5 TSI Life 116 5dr DSG [Assistance Pack],5,84,82,69,79
