url,vehicle,rescue_sheet,advanced_ecall,multi_collision_brake,submergence_check,system_name,type,operational_from,speed_limit_information_function,speed_control_function,applies_to,fatigue,emergency_lane_keeping,lane_keep_assist,human_machine_interface,sensor_used,distraction,impairment,additional_information,avoidance,warning_function,speed_limitation_function,warning,lka_confirmation_test,ldw_confirmation_test,variant
https://www.euroncap.com/en/results/ford/tourneo+custom/54882,Ford Tourneo Custom,"Available, ISO compliant",Available,Available,Partially Compliant,Pre-Collision Assist (PCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),"Front and rear seats, including third row",Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/vw/caravelle/55351,VW Caravelle,"Available, ISO compliant",Available,Available,Partially Compliant,Pre-Collision Assist (PCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),"Front and rear seats, including third row",Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/kia/ev3/54845,Kia EV3,"Available, ISO compliant",Available,Available,Compliant,Forward Collision-Avoidance Assist (FCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/peugeot/3008/54889,Peugeot 3008,"Available, ISO compliant",Available,Available,Partially Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/peugeot/5008/55338,Peugeot 5008,"Available, ISO compliant",Available,Available,Partially Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/opel%2fvauxhall/grandland/54888,Opel/Vauxhall Grandland,"Available, ISO compliant",Available,Available,Partially Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/polestar/3/54519,Polestar 3,"Available, ISO compliant",Available,Available,Compliant,Forward Collision Avoidance,Autonomous emergency braking and forward collision warning,1 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long & Short Distraction and Phone Use,Unresponsive Driver,,,,,,,,
https://www.euroncap.com/en/results/cupra/terramar/54496,Cupra TERRAMAR,"Available, ISO compliant",Available,Available,Compliant,Front Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/geely/ex5/54531,GEELY EX5,"Available, ISO compliant",Available,Available,Compliant,Autonomous Emergency Brake,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Good,Good,Good,camera and radar,Long & Short Distraction and Phone Use,Unresponsive Driver,,,,,,,,
https://www.euroncap.com/en/results/byd/sealion+7/54528,BYD SEALION 7,"Available, ISO compliant",Available,Available,Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/hongqi/e-hs9/54344,Hongqi E-HS9,"Available, ISO compliant",Available,Not available,Compliant,IFC,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),"Front and rear seats, including third row","Drowsiness, Microsleep and Sleep",Good,Good,Good,camera,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/jaecoo/7+phev/54532,JAECOO 7 PHEV,"Available, ISO compliant",Available,Available,Compliant,AEB+FCW,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/mini/cooper+e/54379,MINI Cooper E,"Available, ISO compliant",Available,Available,Compliant,Front collision warning with brake intervention,LKA and ELK,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera,,,,,,,,,,
