amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
GWM ORA,ORA 03 HATCHBACK,126kW Pro+ 63kWh 5dr Auto,5,92,83,74,93
GWM ORA,ORA 03 HATCHBACK,126kW Pure+ 48kWh 5dr Auto,5,92,83,74,93
HONDA,e HATCHBACK,113kW Advance 36kWh 5dr Auto,4,76,82,62,65
HYUNDAI,INSTER ELECTRIC HATCHBACK,71kW 01 42kWh 5dr Auto,4,70,81,70,67
HYUNDAI,INSTER ELECTRIC HATCHBACK,85kW 01 49kWh 5dr Auto,4,70,81,70,67
HYUNDAI,INSTER ELECTRIC HATCHBACK,85kW 02 49kWh 5dr Auto,4,70,81,70,67
HYUNDAI,INSTER ELECTRIC HATCHBACK,85kW Cross 49kWh 5dr Auto,4,70,81,70,67
HYUNDAI,IONIQ 5 N ELECTRIC HATCHBACK,478kW 84 kWh 5dr Auto,5,88,86,63,88
HYUNDAI,IONIQ 5 N ELECTRIC HATCHBACK,478kW 84 kWh 5dr Auto [Vision Roof],5,88,86,63,88
HYUNDAI,IONIQ 6 ELECTRIC SALOON,168kW Premium 77kWh 4dr Auto,5,97,87,66,90
HYUNDAI,IONIQ 6 ELECTRIC SALOON,168kW Ultimate 77kWh 4dr Auto,5,97,87,66,90
HYUNDAI,IONIQ 6 ELECTRIC SALOON,239kW Premium 77kWh 4dr AWD Auto,5,97,87,66,90
HYUNDAI,IONIQ 6 ELECTRIC SALOON,239kW Ultimate 77kWh 4dr AWD Auto,5,97,87,66,90
HYUNDAI,IONIQ 9 ELECTRIC ESTATE,160kW Premium 110kWh 5dr Auto,5,84,87,77,83
HYUNDAI,IONIQ 9 ELECTRIC ESTATE,226kW Calligraphy 110kWh 5dr AWD Auto,5,84,87,77,83
HYUNDAI,IONIQ 9 ELECTRIC ESTATE,226kW Ultimate 110kWh 5dr AWD Auto,5,84,87,77,83
HYUNDAI,IONIQ 9 ELECTRIC ESTATE,314kW Calligraphy 110kWh 5dr AWD Auto,5,84,87,77,83
HYUNDAI,IONIQ 9 ELECTRIC ESTATE,314kW Calligraphy 110kWh 5dr AWD Auto [6 Seat],5,84,87,77,83
HYUNDAI,KONA ELECTRIC HATCHBACK,160kW Advance 65kWh 5dr Auto,4,80,83,64,60
HYUNDAI,KONA ELECTRIC HATCHBACK,160kW Advance 65kWh 5dr Auto [Comfort Pack],4,80,83,64,60
HYUNDAI,KONA ELECTRIC HATCHBACK,160kW N Line 65kWh 5dr Auto,4,80,83,64,60
HYUNDAI,KONA ELECTRIC HATCHBACK,160kW N Line S 65kWh 5dr Auto,4,80,83,64,60
HYUNDAI,KONA ELECTRIC HATCHBACK,160kW Ultimate 65kWh 5dr Auto,4,80,83,64,60
JEEP,AVENGER ELECTRIC HATCHBACK,115kW e-Altitude 54kWh 5dr Auto,3,79,70,59,53
JEEP,AVENGER ELECTRIC HATCHBACK,115kW e-Longitude 54kWh 5dr Auto,3,79,70,59,53
JEEP,AVENGER ELECTRIC HATCHBACK,115kW e-Summit 54kWh 5dr Auto,3,79,70,59,53
KIA,EV3 ELECTRIC ESTATE,148kW Air 58.3kWh 5dr Auto,4,83,84,77,67
KIA,EV3 ELECTRIC ESTATE,148kW Air 81.4kWh 5dr Auto,4,83,84,77,67
KIA,EV3 ELECTRIC ESTATE,148kW GT-Line 81.4kWh 5dr Auto,4,83,84,77,67
KIA,EV3 ELECTRIC ESTATE,148kW GT-Line S 81.4kWh 5dr Auto,4,83,84,77,67
KIA,EV6 ELECTRIC ESTATE,125kW Air SR 63kWh 5dr Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,168kW Air 84kWh 5dr Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,168kW GT Line 84kWh 5dr Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,168kW GT Line S 84kWh 5dr Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,239kW GT Line 84kWh 5dr AWD Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,239kW GT Line S 84kWh 5dr AWD Auto,5,90,86,64,87
KIA,EV6 ELECTRIC ESTATE,478kW GT 84kWh 5dr AWD Auto,5,90,86,64,87
KIA,NIRO EV ESTATE,150kW 2 Nav 65kWh 5dr Auto,4,91,84,75,60
LEAPMOTOR,C10 ELECTRIC ESTATE,160kW 70kWh 5dr Auto [11 kWCh],5,89,85,77,76
LEXUS,RZ ELECTRIC ESTATE,300e 150kW Premium + 71 kWh 5dr Auto,5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,"300e 150kW Premium + 71 kWh 5dr Auto [18"" Wheels]",5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,"300e 150kW Premium + 71 kWh 5dr Auto [18""/Bi-tone]",5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,300e 150kW Premium + 71 kWh 5dr Auto [Bi-tone],5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,300e 150kW Premium 71 kWh 5dr Auto,5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,"300e 150kW Premium 71 kWh 5dr Auto [20"" Wheels]",5,87,87,84,81
LEXUS,RZ ELECTRIC ESTATE,300e 150kW Takumi 71 kWh 5dr Auto,5,87,87,84,81
